run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
bipolar_filt_cap20_seed3,test,window,664,361,303,0.697289156626506,0.6876708446467916,0.7977839335180056,0.5775577557755776,0.6923076923076923,0.7413127413127413,0.3864819482571998,0.7704122212775295,0.7915856723794531,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed3",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed3
bipolar_filt_cap20_seed3,test,subject,41,21,20,0.7073170731707317,0.7035714285714285,0.8571428571428571,0.55,0.6666666666666666,0.75,0.4291662538799943,0.8333333333333333,0.8652597988827677,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed3",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed3
bipolar_filt_cap20_seed4,train,window,2536,1374,1162,0.8832807570977917,0.8836543929930577,0.8791848617176128,0.8881239242685026,0.9028400597907325,0.8908554572271387,0.765790784428146,0.9600128524077596,0.9678680469588404,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4
bipolar_filt_cap20_seed4,train,subject,158,78,80,0.9620253164556962,0.9621794871794872,0.9743589743589745,0.95,0.95,0.9620253164556962,0.9243589743589744,0.992948717948718,0.9926550184559852,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4
bipolar_filt_cap20_seed4,test,window,649,392,257,0.5824345146379045,0.5759449694274597,0.6071428571428571,0.5447470817120622,0.6704225352112676,0.6372155287817939,0.1492281519591611,0.6128007623282776,0.7024785523619432,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4
bipolar_filt_cap20_seed4,test,subject,41,21,20,0.6341463414634146,0.6321428571428571,0.7142857142857143,0.55,0.625,0.6666666666666666,0.2681441039892574,0.6547619047619047,0.6857927573181877,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4",logs/train/bipolar_filtered/runs/bipolar_filt_cap20_seed4
bipolar_filt_cap40_seed0,train,window,3715,2321,1394,0.9114401076716016,0.9119346964308784,0.909952606635071,0.9139167862266858,0.946236559139785,0.9277399516802108,0.8145348218196283,0.971916943236138,0.9824865591473128,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0
bipolar_filt_cap40_seed0,train,subject,158,78,80,0.9556962025316456,0.9559294871794872,0.9743589743589745,0.9375,0.9382716049382716,0.9559748427672956,0.912078250296822,0.9934294871794872,0.9933957296493532,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0
bipolar_filt_cap40_seed0,test,window,1024,619,405,0.6328125,0.6092143840124454,0.7221324717285945,0.4962962962962963,0.6866359447004609,0.7039370078740157,0.2219411143233337,0.6663236203354674,0.764736756725886,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0
bipolar_filt_cap40_seed0,test,subject,41,21,20,0.6097560975609756,0.6071428571428572,0.7142857142857143,0.5,0.6,0.6521739130434783,0.2195775164134199,0.7047619047619048,0.7633867040311877,bipolar,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=bipolar; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.window_len_min=2; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0",logs/train/bipolar_filtered/runs/bipolar_filt_cap40_seed0
